model,seed,train_final_action_l1_loss,d_action_l1_loss
act_A_only,42,0.0312640368938446,0.24454864930102937
act_A_only,43,0.027773629873991,0.25021033747989796
act_A_only,44,0.0307519286870956,0.24769931556404257
act_A_only,45,0.0357116907835006,0.24402246939279196
act_ABC,42,0.0511374287307262,0.22516736582059824
act_ABC,43,0.0481170639395713,0.2247163304661521
act_ABC,44,0.042595412582159,0.22753809276327394
act_ABC,45,0.0433769971132278,0.224517595209279
