model,train_final_action_l1_mean,train_final_action_l1_std,d_action_l1_mean,d_action_l1_std,completed_seeds
act_ABC,0.04630672559142107,0.004040221568327254,0.22548484606482583,0.0013955651367962986,4
act_A_only,0.03137532155960795,0.00327502081390327,0.24662019293444046,0.0028921217200617343,4
