WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 3100, "train_action_l1_loss": 0.04955221340060234, "total_loss": 0.06710585951805115, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19667672202922404}
{"step": 3200, "train_action_l1_loss": 0.04650044068694115, "total_loss": 0.0596669539809227, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.18827317492105067}
{"step": 3300, "train_action_l1_loss": 0.0437198206782341, "total_loss": 0.05606088414788246, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20602255198173225}
{"step": 3400, "train_action_l1_loss": 0.04110928624868393, "total_loss": 0.054115504026412964, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20646403613500297}
{"step": 3500, "train_action_l1_loss": 0.042015768587589264, "total_loss": 0.05314698442816734, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1928568659350276}
{"step": 3600, "train_action_l1_loss": 0.04099094495177269, "total_loss": 0.04961305856704712, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2042825238313526}
{"step": 3700, "train_action_l1_loss": 0.03956533595919609, "total_loss": 0.048919372260570526, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19200236001051962}
{"step": 3800, "train_action_l1_loss": 0.04586091265082359, "total_loss": 0.054712481796741486, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1974064379464835}
{"step": 3900, "train_action_l1_loss": 0.04613666981458664, "total_loss": 0.06266225874423981, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19923235499300063}
{"step": 4000, "train_action_l1_loss": 0.041491489857435226, "total_loss": 0.047390416264534, "val_action_l1_loss": 0.039792073890566826, "val_total_loss": 0.0504389701411128, "learning_rate": 0.0001, "time_per_step": 0.19995063007809222}
{"step": 4100, "train_action_l1_loss": 0.04211510717868805, "total_loss": 0.05084720253944397, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.18453544192016125}
{"step": 4200, "train_action_l1_loss": 0.04192235693335533, "total_loss": 0.05357816070318222, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19784470298327506}
{"step": 4300, "train_action_l1_loss": 0.03748416528105736, "total_loss": 0.044197045266628265, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19214883400127292}
{"step": 4400, "train_action_l1_loss": 0.04370084032416344, "total_loss": 0.04895338416099548, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2089554041158408}
{"step": 4500, "train_action_l1_loss": 0.031348466873168945, "total_loss": 0.038826052099466324, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19707979215309024}
{"step": 4600, "train_action_l1_loss": 0.03960651904344559, "total_loss": 0.04556019976735115, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.18805713206529617}
{"step": 4700, "train_action_l1_loss": 0.03298041224479675, "total_loss": 0.04089556634426117, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1956022111698985}
