step,train_action_l1_loss,total_loss,val_action_l1_loss,val_total_loss,learning_rate,time_per_step
1,0.17646953463554382,73.79882049560547,0.5215652003884316,61.02170333862305,0.0001,2.3675914800260216
2,0.4745878279209137,60.43921661376953,,,0.0001,0.22200504201464355
3,0.4155011773109436,36.34501266479492,,,0.0001,0.21895629889331758
4,0.21126443147659302,20.457683563232422,,,0.0001,0.20726025011390448
5,0.17169122397899628,14.429975509643555,,,0.0001,0.21022855280898511
6,0.18176965415477753,10.594046592712402,,,0.0001,0.21745274006389081
7,0.15429207682609558,8.590912818908691,,,0.0001,0.2398431410547346
8,0.14262250065803528,7.72335147857666,,,0.0001,0.2070059219840914
9,0.09302330017089844,6.587760925292969,,,0.0001,0.22465367196127772
10,0.11687809228897095,5.826113700866699,,,0.0001,0.2450534258969128
11,0.12241435050964355,4.923040390014648,,,0.0001,0.19818419311195612
12,0.1092100590467453,4.553131580352783,,,0.0001,0.3050488999579102
13,0.10115055739879608,4.1968674659729,,,0.0001,0.2249595948960632
14,0.09970060735940933,4.336151599884033,,,0.0001,0.2880096170119941
15,0.09747809171676636,3.9128544330596924,,,0.0001,0.2283349430654198
16,0.09483169764280319,3.542743444442749,,,0.0001,0.23684348491951823
17,0.09696400165557861,3.42887020111084,,,0.0001,0.22871629614382982
18,0.09986113011837006,3.430306911468506,,,0.0001,0.23488403903320432
19,0.08975337445735931,3.3038196563720703,,,0.0001,0.22937413305044174
20,0.07571050524711609,3.179553747177124,,,0.0001,0.21739503392018378
21,0.09782954305410385,3.088127851486206,,,0.0001,0.2146815441083163
22,0.09841285645961761,2.950968027114868,,,0.0001,0.20649237791076303
23,0.0850590243935585,2.9412477016448975,,,0.0001,0.23366876202635467
24,0.09313330054283142,2.8727033138275146,,,0.0001,0.2950196289457381
25,0.09451762586832047,2.704648971557617,,,0.0001,0.24281759094446898
26,0.08573982864618301,2.7401421070098877,,,0.0001,0.28119470505043864
27,0.08492594212293625,2.651136636734009,,,0.0001,0.22298587788827717
28,0.09068095684051514,2.608717441558838,,,0.0001,0.20980777591466904
29,0.09044302999973297,2.657784938812256,,,0.0001,0.21700079296715558
30,0.08731752634048462,2.517690896987915,,,0.0001,0.2417828100733459
31,0.0909750685095787,2.466736316680908,,,0.0001,0.22379426402039826
32,0.08387897163629532,2.442018508911133,,,0.0001,0.22926192404702306
33,0.08748026937246323,2.333489179611206,,,0.0001,0.2728124519344419
34,0.08806049823760986,2.4671778678894043,,,0.0001,0.21946357912383974
35,0.09053868800401688,2.4691739082336426,,,0.0001,0.21749080903828144
36,0.08520787954330444,2.4193673133850098,,,0.0001,0.20441222190856934
37,0.0885334312915802,2.2979977130889893,,,0.0001,0.29975716094486415
38,0.09325016289949417,2.279658555984497,,,0.0001,0.2157742811832577
39,0.09034720063209534,2.31939697265625,,,0.0001,0.30048363213427365
40,0.09484943747520447,2.1748437881469727,,,0.0001,0.21128654689528048
41,0.07647518813610077,2.2932114601135254,,,0.0001,0.2129335538484156
42,0.08329936861991882,2.214909553527832,,,0.0001,0.2130354188848287
43,0.08714213222265244,2.294523000717163,,,0.0001,0.23124046507291496
44,0.0869574323296547,2.2329094409942627,,,0.0001,0.20624967711046338
45,0.0845271423459053,2.1926474571228027,,,0.0001,0.3839494180865586
46,0.08342234045267105,2.1175622940063477,,,0.0001,0.30142577388323843
47,0.09256827086210251,2.1777656078338623,,,0.0001,0.2751502771861851
48,0.089346744120121,2.0590217113494873,,,0.0001,0.19985288614407182
49,0.08736913651227951,1.963056206703186,,,0.0001,0.20482004806399345
50,0.08586391061544418,2.0825212001800537,,,0.0001,0.207909116987139
51,0.09584358334541321,1.9395925998687744,,,0.0001,0.20365186990238726
52,0.08503907918930054,2.10734224319458,,,0.0001,0.19950020895339549
53,0.08675019443035126,1.940578579902649,,,0.0001,0.201755944872275
54,0.08633661270141602,1.9891645908355713,,,0.0001,0.19461630820296705
55,0.08301156014204025,1.9934478998184204,,,0.0001,0.1982167970854789
56,0.08333159238100052,1.802430272102356,,,0.0001,0.19943129806779325
57,0.08319398760795593,1.936773419380188,,,0.0001,0.1955775178503245
58,0.08197183907032013,1.9092741012573242,,,0.0001,0.19454980292357504
59,0.09020272642374039,1.809366226196289,,,0.0001,0.19545512413606048
60,0.08372985571622849,1.821163296699524,,,0.0001,0.19000379205681384
