WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 3100, "train_action_l1_loss": 0.05045128986239433, "total_loss": 0.06058499962091446, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20086487103253603}
{"step": 3200, "train_action_l1_loss": 0.05095823109149933, "total_loss": 0.05994274467229843, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1905091400258243}
{"step": 3300, "train_action_l1_loss": 0.05547715723514557, "total_loss": 0.06326936930418015, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20159765821881592}
{"step": 3400, "train_action_l1_loss": 0.05803417041897774, "total_loss": 0.0762302428483963, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2070311310235411}
{"step": 3500, "train_action_l1_loss": 0.052507221698760986, "total_loss": 0.07294942438602448, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1965222079306841}
{"step": 3600, "train_action_l1_loss": 0.04836919531226158, "total_loss": 0.06490446627140045, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20742026413790882}
{"step": 3700, "train_action_l1_loss": 0.04824671149253845, "total_loss": 0.057992804795503616, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20068789995275438}
{"step": 3800, "train_action_l1_loss": 0.048351045697927475, "total_loss": 0.05908694863319397, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19544671708717942}
{"step": 3900, "train_action_l1_loss": 0.05756817385554314, "total_loss": 0.06415672600269318, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20387058285996318}
{"step": 4000, "train_action_l1_loss": 0.058391690254211426, "total_loss": 0.06695611029863358, "val_action_l1_loss": 0.054203952103853224, "val_total_loss": 0.05907992664724589, "learning_rate": 0.0001, "time_per_step": 0.2075910170096904}
{"step": 4100, "train_action_l1_loss": 0.049525678157806396, "total_loss": 0.060233402997255325, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20861977594904602}
{"step": 4200, "train_action_l1_loss": 0.04994582012295723, "total_loss": 0.05994841083884239, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1963303128723055}
{"step": 4300, "train_action_l1_loss": 0.05551152676343918, "total_loss": 0.06280659884214401, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.195076874922961}
{"step": 4400, "train_action_l1_loss": 0.053777117282152176, "total_loss": 0.06061125546693802, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19234171998687088}
{"step": 4500, "train_action_l1_loss": 0.04935141280293465, "total_loss": 0.05718006193637848, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19715384300798178}
{"step": 4600, "train_action_l1_loss": 0.05320597067475319, "total_loss": 0.06124655157327652, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19295765995047987}
{"step": 4700, "train_action_l1_loss": 0.04659896343946457, "total_loss": 0.060587719082832336, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2025035850238055}
