WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 3100, "train_action_l1_loss": 0.04635576903820038, "total_loss": 0.053733278065919876, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19705280498601496}
{"step": 3200, "train_action_l1_loss": 0.04841631278395653, "total_loss": 0.05797404795885086, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19868174497969449}
{"step": 3300, "train_action_l1_loss": 0.0565662644803524, "total_loss": 0.06420008838176727, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2037316330242902}
{"step": 3400, "train_action_l1_loss": 0.05429873988032341, "total_loss": 0.0614556260406971, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1989745970349759}
{"step": 3500, "train_action_l1_loss": 0.055749814957380295, "total_loss": 0.06256638467311859, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2009212940465659}
{"step": 3600, "train_action_l1_loss": 0.04878971725702286, "total_loss": 0.06010115519165993, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19994574110023677}
{"step": 3700, "train_action_l1_loss": 0.04505911469459534, "total_loss": 0.0519658587872982, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.24568835506215692}
{"step": 3800, "train_action_l1_loss": 0.057007305324077606, "total_loss": 0.06263939291238785, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19816676015034318}
{"step": 3900, "train_action_l1_loss": 0.047733332961797714, "total_loss": 0.05906877666711807, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1968602209817618}
{"step": 4000, "train_action_l1_loss": 0.05001702532172203, "total_loss": 0.06092170998454094, "val_action_l1_loss": 0.050237295031547544, "val_total_loss": 0.059745234064757825, "learning_rate": 0.0001, "time_per_step": 0.2147207180969417}
{"step": 4100, "train_action_l1_loss": 0.046915482729673386, "total_loss": 0.05462042987346649, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19208769616670907}
{"step": 4200, "train_action_l1_loss": 0.05550751835107803, "total_loss": 0.06612788885831833, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20964472997002304}
{"step": 4300, "train_action_l1_loss": 0.05479110777378082, "total_loss": 0.06215512380003929, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1958793648518622}
{"step": 4400, "train_action_l1_loss": 0.04915887489914894, "total_loss": 0.05390603467822075, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.18702820409089327}
{"step": 4500, "train_action_l1_loss": 0.04472370073199272, "total_loss": 0.04796841740608215, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20366399688646197}
{"step": 4600, "train_action_l1_loss": 0.05409305915236473, "total_loss": 0.0601130947470665, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1880617830902338}
{"step": 4700, "train_action_l1_loss": 0.0455482043325901, "total_loss": 0.051414407789707184, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19090137002058327}
{"step": 4800, "train_action_l1_loss": 0.044825077056884766, "total_loss": 0.049995824694633484, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19966297317296267}
{"step": 4900, "train_action_l1_loss": 0.04982026293873787, "total_loss": 0.0538894347846508, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20116683514788747}
{"step": 5000, "train_action_l1_loss": 0.050879184156656265, "total_loss": 0.05652693286538124, "val_action_l1_loss": 0.04844257496297359, "val_total_loss": 0.05215019918978214, "learning_rate": 0.0001, "time_per_step": 0.19903305103071034}
{"step": 5100, "train_action_l1_loss": 0.050577446818351746, "total_loss": 0.05479612573981285, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19586755614727736}
{"step": 5200, "train_action_l1_loss": 0.050839975476264954, "total_loss": 0.055447857826948166, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1911162759643048}
{"step": 5300, "train_action_l1_loss": 0.048607371747493744, "total_loss": 0.05327741056680679, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1918302900157869}
{"step": 5400, "train_action_l1_loss": 0.04865381494164467, "total_loss": 0.053019680082798004, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20263712690211833}
{"step": 5500, "train_action_l1_loss": 0.056196801364421844, "total_loss": 0.05993722379207611, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2003688479308039}
{"step": 5600, "train_action_l1_loss": 0.04575919359922409, "total_loss": 0.05054187774658203, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20047901291400194}
{"step": 5700, "train_action_l1_loss": 0.053560614585876465, "total_loss": 0.06084265559911728, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1960611918475479}
{"step": 5800, "train_action_l1_loss": 0.04931194707751274, "total_loss": 0.054059676826000214, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19739561900496483}
{"step": 5900, "train_action_l1_loss": 0.04325740411877632, "total_loss": 0.04515431076288223, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2006087489426136}
{"step": 6000, "train_action_l1_loss": 0.04072047770023346, "total_loss": 0.047261156141757965, "val_action_l1_loss": 0.04692007042467594, "val_total_loss": 0.050996523536741736, "learning_rate": 0.0001, "time_per_step": 0.1964523191563785}
{"step": 6100, "train_action_l1_loss": 0.044013168662786484, "total_loss": 0.047841623425483704, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2065054380800575}
{"step": 6200, "train_action_l1_loss": 0.04315135255455971, "total_loss": 0.046177059412002563, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20009276107884943}
{"step": 6300, "train_action_l1_loss": 0.041603054851293564, "total_loss": 0.04779306426644325, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19793891301378608}
{"step": 6400, "train_action_l1_loss": 0.049144770950078964, "total_loss": 0.05569927766919136, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2075169188901782}
{"step": 6500, "train_action_l1_loss": 0.04628746956586838, "total_loss": 0.04964018985629082, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19858878199011087}
{"step": 6600, "train_action_l1_loss": 0.045935794711112976, "total_loss": 0.04929269850254059, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20943988510407507}
{"step": 6700, "train_action_l1_loss": 0.04340565577149391, "total_loss": 0.046860259026288986, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2005242658779025}
{"step": 6800, "train_action_l1_loss": 0.051274605095386505, "total_loss": 0.05585110932588577, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19837231119163334}
