step,train_action_l1_loss,total_loss,val_action_l1_loss,val_total_loss,learning_rate,time_per_step
1,0.1828300654888153,74.01428985595703,0.6158976048231125,46.35845317840576,0.0001,1.7562374549452215
2,0.6304277181625366,46.16360855102539,,,0.0001,0.18536849692463875
3,0.4457089602947235,27.775211334228516,,,0.0001,0.1833680090494454
4,0.25512856245040894,21.588319778442383,,,0.0001,0.1801006740424782
5,0.14620338380336761,15.243412971496582,,,0.0001,0.1894323229789734
6,0.17238637804985046,8.154084205627441,,,0.0001,0.18489078199490905
7,0.19761431217193604,6.687082290649414,,,0.0001,0.1945816809311509
8,0.12413116544485092,7.033618927001953,,,0.0001,0.1960582509636879
9,0.10187302529811859,6.784161567687988,,,0.0001,0.19817394204437733
10,0.13629542291164398,6.283939838409424,,,0.0001,0.19470733706839383
11,0.11682216078042984,4.968459606170654,,,0.0001,0.20287107001058757
12,0.0934760719537735,3.7992641925811768,,,0.0001,0.20257954904809594
13,0.09760764241218567,3.8433260917663574,,,0.0001,0.19854092900641263
14,0.10513534396886826,4.3594183921813965,,,0.0001,0.20600602985359728
15,0.11088487505912781,4.4600300788879395,,,0.0001,0.4374333219602704
16,0.08837621659040451,3.8739702701568604,,,0.0001,0.2695534978993237
17,0.09308857470750809,3.159487247467041,,,0.0001,0.21187518094666302
18,0.08704844862222672,2.929436683654785,,,0.0001,0.1945622859057039
19,0.08839841932058334,3.159973621368408,,,0.0001,0.2010349608026445
20,0.09489073604345322,3.2912557125091553,,,0.0001,0.1883323579095304
21,0.09947042912244797,3.2186076641082764,,,0.0001,0.5600429088808596
22,0.08513964712619781,2.932798147201538,,,0.0001,0.3876258509699255
23,0.086750827729702,2.83424711227417,,,0.0001,0.2738009509630501
24,0.08953194320201874,2.8652937412261963,,,0.0001,0.1880835748743266
25,0.08692821860313416,2.874708890914917,,,0.0001,0.19261007895693183
26,0.08904456347227097,2.886817455291748,,,0.0001,0.17945622908882797
27,0.08260364830493927,2.7913079261779785,,,0.0001,0.3182793690357357
28,0.09035174548625946,2.6662094593048096,,,0.0001,0.26668015983887017
29,0.09821135550737381,2.542663812637329,,,0.0001,0.2170473209116608
30,0.09016481786966324,2.521860122680664,,,0.0001,0.18104591011069715
31,0.08222232013940811,2.663738965988159,,,0.0001,0.22213712986558676
32,0.09388656169176102,2.494875192642212,,,0.0001,0.1872329309117049
33,0.08062867820262909,2.488685369491577,,,0.0001,0.17448958801105618
34,0.0884459912776947,2.3139326572418213,,,0.0001,0.17496845102868974
35,0.08036427944898605,2.39859676361084,,,0.0001,0.17715017893351614
36,0.080205999314785,2.3571338653564453,,,0.0001,0.17712150909937918
37,0.08059901744127274,2.3854029178619385,,,0.0001,0.17739983298815787
38,0.08891480416059494,2.29162335395813,,,0.0001,0.18506529997102916
39,0.08074145764112473,2.2147903442382812,,,0.0001,0.18446925794705749
40,0.0852949321269989,2.259657144546509,,,0.0001,0.17788704996928573
41,0.08610961586236954,2.208989143371582,,,0.0001,0.17641770909540355
42,0.08214491605758667,2.139164686203003,,,0.0001,0.17515078093856573
